"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 07 21:21:01 GMT 2025","Fri Mar 07 21:21:01 GMT 2025","671","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","attemptGetPropertyWrongCredentials","Hostfully APis: Attempt to create a Property with wrong credentials",""
"passed","Fri Mar 07 21:20:59 GMT 2025","Fri Mar 07 21:21:00 GMT 2025","378","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyWrongCredentials","Hostfully APis: Attempt to create a Property with wrong credentials",""
"failed","Fri Mar 07 21:20:54 GMT 2025","Fri Mar 07 21:20:55 GMT 2025","552","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingDateTooFuture","Hostfully APIs: Attempt to create a booking with a date too future",""
"failed","Fri Mar 07 21:20:57 GMT 2025","Fri Mar 07 21:20:58 GMT 2025","546","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingEndDateBeforeStartDate","Hostfully APis: Booking creation fails when end date is before start date",""
"passed","Fri Mar 07 21:20:54 GMT 2025","Fri Mar 07 21:20:54 GMT 2025","625","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutStartDate","Hostfully APIs: Attempt to create a booking without start date",""
"failed","Fri Mar 07 21:21:01 GMT 2025","Fri Mar 07 21:21:02 GMT 2025","555","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","getPropertyByIdSuccess","Hostfully APis: Get a property by ID with success",""
"failed","Fri Mar 07 21:21:00 GMT 2025","Fri Mar 07 21:21:01 GMT 2025","533","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyAliasAlreadyExisted","Hostfully APis: Attempt to create a Property with alias already existed",""
"failed","Fri Mar 07 21:20:45 GMT 2025","Fri Mar 07 21:20:50 GMT 2025","4263","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessCompletedStatus","Hostfully APis: Create a booking with success Completed Status",""
"passed","Fri Mar 07 21:20:55 GMT 2025","Fri Mar 07 21:20:55 GMT 2025","571","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingInvalidProperty","Hostfully APis: Attempt to create a booking with invalid property (non existent)",""
"failed","Fri Mar 07 21:21:00 GMT 2025","Fri Mar 07 21:21:00 GMT 2025","263","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","createPropertySuccess","Hostfully APis: Create a property with success",""
"failed","Fri Mar 07 21:20:59 GMT 2025","Fri Mar 07 21:20:59 GMT 2025","282","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyInvalidCountryCode","Hostfully APis: Attempt to create a Property with invalid country code",""
"passed","Fri Mar 07 21:20:58 GMT 2025","Fri Mar 07 21:20:59 GMT 2025","271","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyInvalidURL","Hostfully APis: Attempt to create a property invalid URL",""
"failed","Fri Mar 07 21:20:50 GMT 2025","Fri Mar 07 21:20:51 GMT 2025","605","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessCancelledStatus","Hostfully APis: Create a booking with success Cancelled Status",""
"failed","Fri Mar 07 21:20:52 GMT 2025","Fri Mar 07 21:20:53 GMT 2025","573","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessEqualDates","Hostfully APis: Create a booking with start date and end date equals",""
"passed","Fri Mar 07 21:20:58 GMT 2025","Fri Mar 07 21:20:58 GMT 2025","600","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutFirstName","Hostfully APIs: Attempt to create a booking without firstName",""
"failed","Fri Mar 07 21:20:52 GMT 2025","Fri Mar 07 21:20:52 GMT 2025","576","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccess","Hostfully APis: Create a booking with success",""
"failed","Fri Mar 07 21:20:59 GMT 2025","Fri Mar 07 21:20:59 GMT 2025","276","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","createPropertyDifferentCountryCode","Hostfully APis: Create a property with different country code: BR",""
"failed","Fri Mar 07 21:20:50 GMT 2025","Fri Mar 07 21:20:50 GMT 2025","653","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingInvalidStatus","Hostfully APis: Attempt to create a booking with invalid status",""
"passed","Fri Mar 07 21:20:51 GMT 2025","Fri Mar 07 21:20:52 GMT 2025","713","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWrongCredentials","Hostfully APis: Attempt to create a booking with wrong credentials",""
"failed","Fri Mar 07 21:20:55 GMT 2025","Fri Mar 07 21:20:56 GMT 2025","528","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutBirthDate","Hostfully APIs: Attempt to create a booking without birth date",""
"passed","Fri Mar 07 21:20:57 GMT 2025","Fri Mar 07 21:20:57 GMT 2025","577","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutEndDate","Hostfully APIs: Attempt to create a booking without end date",""
"failed","Fri Mar 07 21:20:53 GMT 2025","Fri Mar 07 21:20:54 GMT 2025","837","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingOverlappingDates","Hostfully APIs: Booking creation fails when booking dates overlap with an existing booking",""
